                  relname                  | reltuples | relpages 
 pg_toast_5537390                          |         0 |        0
 pg_toast_88869                            |         0 |        0
 pg_toast_88808                            |         0 |        0
 pg_toast_88287                            |         0 |        0
 pg_default_acl                            |         0 |        0
 pg_foreign_table                          |         0 |        0
 flickr_photo                              |         0 |        0
 pg_config                                 |         0 |        0
 pg_toast_88562                            |         0 |        0
 pg_partitioned_table                      |         0 |        0
 pg_toast_88733                            |         0 |        0
(661 rows)

